Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude
"Bán căn hộ Iris Garden 30 Trần Hữu Dực, DT 60,7 đến 135m2 2 và 3 ngủ 4,5 tỷ đến 8,3 tỷ xem nhà 24/7",Giá thỏa thuận,"60,7 m²",2,2,"Nam Từ Liêm, Hà Nội","Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",21.0345973,105.7625765
Căn hộ biển Quy Nhơn - Sở hữu lâu dài (thuê lại sau khi khách hàng nhận bàn giao căn hộ),Giá thỏa thuận,46 m²,1,1,"Quy Nhơn, Bình Định","Simona Heights , 145A, Đường Trần Hưng Đạo, Phường Thị Nại, Quy Nhơn, Bình Định",13.7813348,109.2262725
"Bán nhà 2 mặt tiền phố Phạm Huy Thông, 9,9 tỷ, 70m2, 2PN, 2WC, Gò Vấp, HCM","9,9 tỷ",70 m²,2,2,"Gò Vấp, Hồ Chí Minh","Đường Phạm Huy Thông, Phường 7, Gò Vấp, Hồ Chí Minh",10.8408087,106.6751861
Bán gấp căn hộ chính chủ TimesCity - Park Hill giá rẻ nhất thị trường t3/2025. LH 0968 108 ***,"7,3 tỷ",95 m²,2,2,"Hai Bà Trưng, Hà Nội","Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",20.9959723,105.8667531
"Bán biệt thự 320m2 tại phường Long Toàn, TP - Bà Rịa","12,1 tỷ",320 m²,4,4,"Bà Rịa, Bà Rịa Vũng Tàu","Phường Long Toàn, Bà Rịa, Bà Rịa Vũng Tàu",10.4934352,107.1953109
"Nội bộ CĐT bán 2PN 71,82m2 The Rivana giá 102% chỉ 2tỷ490 (SHR) - mặt tiền QL13 & view sông Sài Gòn","2,49 tỷ","71,82 m²",2,2,"Thuận An, Bình Dương"," Đường Quốc Lộ 13,  Phường Vĩnh Phú,  Thuận An,  Bình Dương",10.8723579,106.7047852
"Akari City 2PN1WC 2.650 tỷ, 2PN2WC 3.2 tỷ, 80m2/3,6 tỷ, 3.25 tỷ/62m2. đã có sổ hồng. trực tiếp CĐT","3,2 tỷ",75 m²,2,2,"Bình Tân, Hồ Chí Minh"," Đường Võ Văn Kiệt,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.72606923,106.6198035
"Nhà đẹp, giá tốt. Thương lượng chính chủ. Hỗ trợ vay ngân hàng. Không tiếp môi giới","8,7 tỷ","79,4 m²",4,5,"Đà Lạt, Lâm Đồng","Phố Phù Đổng Thiên Vương, Phường 8, Đà Lạt, Lâm Đồng",11.9648407,108.4431979
Cần bán căn hộ 8x Plus 67m2 2PN 2WC giá 2.5 tỷ đã có sổ hồng,"2,5 tỷ",67 m²,2,2,"Quận 12, Hồ Chí Minh"," Đường Trường Chinh,  Phường Tân Thới Nhất,  Quận 12,  Hồ Chí Minh",10.82861345,106.6179298
"Bán căn 2PN góc giá siêu tốt giai đoạn đầu, thanh toán giãn đến năm 2028","8,7 tỷ",74 m²,2,2,"Quận 2, Hồ Chí Minh"," Đường Mai Chí Thọ,  Phường An Phú,  Quận 2,  Hồ Chí Minh",10.7365876,106.7120245
Chính chủ bán nhà số 47 Phố Chợ Đôn - Lê Chân - Hải Phòng,Giá thỏa thuận,60 m²,4,3,"Lê Chân, Hải Phòng","Phường Nghĩa Xá, Lê Chân, Hải Phòng",20.8391035,106.6699841
"Căn hộ 2PN 2VS giá chỉ từ 2,3tỷ. Dự Án Vic Grand Square Việt Trì. Vốn ban đầu ~700tr(30%GTCH)","2,2 tỷ",68 m²,2,2,"Việt Trì, Phú Thọ"," Đường Hùng Vương,  Phường Gia Cẩm,  Việt Trì,  Phú Thọ",21.3136067,105.3946301
"Chỉ 250 triệu sở hữu căn hộ TT Thành Phố Phú Mỹ, tỉ suất lợi nhuận cho thuê hơn TP HCM, Bình Dương",Giá thỏa thuận,65 m²,2,2,"Phú Mỹ, Bà Rịa Vũng Tàu"," Đường Quốc Lộ 51,  Phường Phú Mỹ,  Phú Mỹ,  Bà Rịa Vũng Tàu",10.5711506,107.0547622
"Chính chủ cần bán căn hộ 73m2 toà C tầng 6 CC Eco City Việt Hưng, full nội thất cách Hồ Gươm 6,5km",4 tỷ,73 m²,2,2,"Long Biên, Hà Nội"," Phường Giang Biên,  Long Biên,  Hà Nội",21.064662,105.9176926
Em Toàn chuyên chuyển nhượng căn hộ tại CC Florence - 28 Trần Hữu Dực. Cập nhật quỹ căn,"6,75 tỷ","91,5 m²",3,2,"Nam Từ Liêm, Hà Nội","Florence Mỹ Đình, 28, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",21.0345973,105.7625765
"Bán shophouse Jamila Khang Điền tại đường Song Hành, Quận 9, TP. HCM, 115 m2 giá tốt","7,2 tỷ",115 m²,1,2,"Quận 9, Hồ Chí Minh"," Đường Song Hành,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374
"Căn rẻ nhất thị trường. View đẹp, giá tốt giai đoạn đầu. Chiết khấu 23.8%, tặng thêm 500tr","5,9 tỷ",120 m²,3,4,"Cam Ranh, Khánh Hòa","Sông Town, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa",11.9881329,109.1913472
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",35 tỷ,168 m²,4,5,"Quận 2, Hồ Chí Minh","Đường Số 40, Phường Bình An, Quận 2, Hồ Chí Minh",10.8499431,106.767018
"Độc quyền chính chủ cần bán căn 2 phòng ngủ tầng cao view ngắm pháo hoa, quận 1, giá chỉ 15,9 tỷ","15,9 tỷ",76 m²,2,2,"Quận 2, Hồ Chí Minh"," Đường Đại Lộ Vòng Cung,  Phường Thủ Thiêm,  Quận 2,  Hồ Chí Minh.",10.80484845,106.7167622
"Giỏ hàng độc quyền căn hoa hậu Hy Lạp Sông Town, giá giai đoạn đầu, tặng 500tr","9,5 tỷ","122,4 m²",3,4,"Cam Ranh, Khánh Hòa"," Đường Nguyễn Tất Thành,  Phường Cam Nghĩa,  Cam Ranh,  Khánh Hòa",11.9881329,109.1913472
Căn góc Hy Lạp với tầm nhìn sân golf siêu đẹp. Giá ưu đãi giai đoạn đầu.Chiết khấu hơn 2 tỷ + 500tr,9 tỷ,"158,86 m²",3,4,"Cam Ranh, Khánh Hòa"," Đường Nguyễn Tất Thành,  Phường Cam Nghĩa,  Cam Ranh,  Khánh Hòa",11.9881329,109.1913472
"Siêu phẩm căn hộ giới hạn 2 ngủ 45,6m2 giá 790tr tầng đẹp, view Đông Nam view hồ, view trường học",790 triệu,"45,6 m²",2,1,"Yên Phong, Bắc Ninh"," Đường Tỉnh lộ 295,  Xã Đông Tiến,  Yên Phong,  Bắc Ninh",21.21586647,105.9804095
Quỹ căn hộ giá rẻ không chênh hỗ trợ vay vốn ngân hàng 80% sổ đỏ sang tên rẻ hơn CDT 500 triệu,"3,3 tỷ",68 m²,2,2,"Đông Anh, Hà Nội"," Đường 5,  Xã Đông Hội,  Đông Anh,  Hà Nội",21.13968625,105.8518553
"Bán nhà mặt tiền Phạm Văn Thuận 14x36, diện tích sàn 1400m tại Biên Hoà, Đồng Nai",63 tỷ,490 m²,3,3,"Biên Hòa, Đồng Nai","Đường Phạm Văn Thuận, Phường Tân Mai, Biên Hòa, Đồng Nai",10.9546785,106.8519919
"Chỉ 1.5 tỷ sở hữu căn 1 ngủ tòa S3 Symphony ven sông Hàn ngắm pháo hoa , bán đảo Sơn Trà .",4 tỷ,58 m²,1,1,"Sơn Trà, Đà Nẵng"," Đường Trần Hưng Đạo,  Phường Nại Hiên Đông ,  Sơn Trà,  Đà Nẵng",16.08516825,108.2288678
"Chính chủ cần bán gấp nhà riêng phố Kim Mã, Ba Đình, Hà Nội 5 tầng full nội thất giá rẻ","8,8 tỷ",43 m²,5,3,"Ba Đình, Hà Nội","Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",21.03190699,105.8257849
"Gia đình cần bán gấp nhà phố Lavila KDC ven sông, sổ hồng đầy đủ, giá (10.39 tỷ) LH: 0909 888 ***","10,39 tỷ",106 m²,4,4,"Nhà Bè, Hồ Chí Minh"," Đường Nguyễn Hữu Thọ,  Xã Phước Kiển,  Nhà Bè,  Hồ Chí Minh",10.71772076,106.7026202
Gia đình cần bán gấp biệt thự Nine South KDC Ven Sông 15 tỷ (Thương lượng). LH: 0909 888 ***,15 tỷ,140 m²,4,5,"Nhà Bè, Hồ Chí Minh"," Đường Nguyễn Hữu Thọ,  Xã Phước Kiển,  Nhà Bè,  Hồ Chí Minh",10.71772076,106.7026202
"Hàng ngộp, giá tốt tại chung cư C Sky View. 1PN 53m2 từ 1.5 tỷ, 2PN 80m2 1.95 tỷ, 3PN 100m2 2.6 tỷ","1,95 tỷ",80 m²,2,2,"Thủ Dầu Một, Bình Dương"," Đường D8,  Phường Chánh Nghĩa,  Thủ Dầu Một,  Bình Dương",10.97174058,106.66461
"Hot! Mua nhà tặng xe, tặng học bổng, CK 15% + quà tân gia 450tr. LH: 0938 857 ***","3,1 tỷ",55 m²,2,2,"Quận 9, Hồ Chí Minh"," Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492
"Bán De La Sol Quận 4, tin thật đảm bảo giá tốt nhất thị trường 7,5 tỷ, 84m2","7,5 tỷ",84 m²,2,2,"Quận 4, Hồ Chí Minh","De La Sol, Tôn Thất Thuyết, 1, Quận 4, Hồ Chí Minh",10.75299232,106.6935272
Chỉ 3 căn hộ Park Legend mua trực tiếp chủ đầu tư - sân bay TSN - Hoàng Văn Thụ - Q. Tân Bình,"5,8 tỷ",70 m²,2,2,"Tân Bình, Hồ Chí Minh"," Đường Hoàng Văn Thụ,  Phường 2,  Tân Bình,  Hồ Chí Minh",10.80055375,106.6636224
"Chính chủ bán biệt thự Nine South Estates, đường 17, 140 m2",19 tỷ,140 m²,4,4,"Nhà Bè, Hồ Chí Minh"," Đường Nguyễn Hữu Thọ,  Xã Phước Kiển,  Nhà Bè,  Hồ Chí Minh",10.71772076,106.7026202
"NHỈNH 6 TỶ NHÀ ĐẸP NGANG KHỦNG 5M, CÁCH MẠNG THÁNG 8, TÂN BÌNH, CHỈ XÁCH VA LI VÔ Ở","6,5 tỷ",35 m²,3,4,"Tân Bình, Hồ Chí Minh","Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình, Hồ Chí Minh",10.7902251,106.6619253
"Giỏ hàng hơn 100 căn bán tại Hà Đô nhiều căn độc quyền - giá tốt nhất 1PN 6 tỷ 2PN 8,5 tỷ 3PN 11 tỷ","8,5 tỷ",88 m²,2,2,"Quận 10, Hồ Chí Minh"," Đường 3/2,  Phường 12,  Quận 10,  Hồ Chí Minh",10.76976565,106.6708768
"Sốc! Duplex 193,2 m2 - View cầu ánh sáng - BC Đông Nam tại tòa S - Tiến độ giãn - Chủ nhà tk gấp","16,5 tỷ","193,2 m²",4,3,"Nam Từ Liêm, Hà Nội"," Đường Đại lộ Thăng Long,  Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội",21.0090956,105.7462871
"Cara River Park - 2PN góc 70m2 - view Sông Hậu, Cầu Cần Thơ - sổ hồng vĩnh viễn","2,85 tỷ",70 m²,2,2,"Cái Răng, Cần Thơ"," Đường Vũ Đình Liệu,  Phường Hưng Thạnh,  Cái Răng,  Cần Thơ",10.0061732,105.7836175
Siêu phẩm liền kề đáng đầu tư nhất Vinhomes Global Gate. Gần sát công viên với vô vàn tiện ích,"20,89 tỷ",75 m²,6,8,"Đông Anh, Hà Nội"," Đường Cổ Loa,  Xã Đông Hội,  Đông Anh,  Hà Nội",21.13968625,105.8518553
Cặp liền kề Ánh Dương 170m2 - Mặt tiền 10m ngay cạnh công viên. LH ngay 0797 484 ***,"41,81 tỷ",170 m²,12,18,"Đông Anh, Hà Nội"," Đường Cổ Loa,  Xã Đông Hội,  Đông Anh,  Hà Nội",21.13968625,105.8518553
Chính chủ bán biệt thự đẹp trong khu Compound yên tĩnh Thảo Điền 2,115 tỷ,305 m²,5,6,"Quận 2, Hồ Chí Minh","153, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.81054575,106.7241751
"2PN View Sông, tốt nhất thị trường, mua trực tiếp CĐT, tặng xe VF3, 2 Học bổng Vinschool,chỉ 4,4 tỷ","4,44 tỷ",78 m²,2,2,"Quận 9, Hồ Chí Minh"," Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492
Park Village biệt thự Châu Âu 323m2 giá 18tỷ thanh toán 2 năm,18 tỷ,323 m²,4,3,"Bến Lức, Long An","Khu đô thị Waterpoint, Tỉnh lộ 824, An Thạnh, Bến Lức, Long An",10.6516575,106.4712271
"Tổng hợp 69 căn chuyển nhượng giá rẻ tại The Canopy TC1, TC2, TC3 giá từ 1,8 tỷ - 4,2 tỷ","4,53 tỷ",73 m²,3,2,"Nam Từ Liêm, Hà Nội"," Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội.",21.0096762,105.7445572
Bán Shophouse đang có HĐ thuê 90tr/1 tháng. Sở hữu lâu dài ngay trung tâm Vũng Tàu. LH:0707 520 ***,28 tỷ,400 m²,2,3,"Vũng Tàu, Bà Rịa Vũng Tàu","Vung Tau Centre Point, Nguyễn Hữu Cảnh, Nguyễn An Ninh, Vũng Tàu, Bà Rịa Vũng Tàu",10.37397532,107.115475
"Hạ 3,05tỷ HXH Thống Nhất, P10, GV","3,05 tỷ",33 m²,2,2,"Gò Vấp, Hồ Chí Minh","Đường Thống Nhất, Phường 10, Gò Vấp, Hồ Chí Minh",10.83452065,106.6643926
"Chính chủ bán căn hộ Lumière Evergreen, KĐT Vinhome Smartcity - Liên hệ: Hà Trâm - 0902 136 ***","4,5 tỷ",53 m²,2,2,"Nam Từ Liêm, Hà Nội","Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",21.0096762,105.7445572
"Hạ giá bán nhanh 2PN 2WC Vinhomes Central Park, căn góc view đẹp lung linh","7,05 tỷ",74 m²,2,2,"Bình Thạnh, Hồ Chí Minh"," Đường Điện Biên Phủ,  Phường 22,  Bình Thạnh,  Hồ Chí Minh",10.79834217,106.7196859
"Bán nhà Minh Khai gần phố oto 80m, 35m 5tầng giá 5,98tỷ","5,98 tỷ",35 m²,4,4,"Hai Bà Trưng, Hà Nội","Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",20.9962306,105.857312
"Hàng hiếm nhà 4 tầng, DT 40m2 Vân Canh cách 100 nhà ra đường 422B cách Mỹ Đình 4.5km","5,35 tỷ",40 m²,4,4,"Hoài Đức, Hà Nội","Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",21.03577496,105.731434
Bán nhà riêng chính chủ Nguyễn Chính - Hoàng Mai oto tránh kinh doanh nhà đẹp 59m2 x5T,Giá thỏa thuận,59 m²,5,5,"Hoàng Mai, Hà Nội","Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",20.9759193,105.8502634
"Nhà mới Tân Phú đường Bờ Bao Tân Thắng, đối diện TTTM Aeon Mall Tân Phú 4m*14m - 5tầng- hẻm nhựa 6m","7,89 tỷ",56 m²,5,6,"Tân Phú, Hồ Chí Minh","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.80751485,106.6217325
"Bán nhà 2 mặt tiền trước sau đường Lũy Bán Bích, 8x25m, cấp 4, giá 38 tỷ",38 tỷ,198 m²,2,2,"Tân Phú, Hồ Chí Minh","Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú, Hồ Chí Minh",10.78945323,106.6381594
"Bán nhà 5 tầng hẻm nhựa 6m diện tích 5x15m CN 78m2 ngay CMT8, P15, Quận 10","13,6 tỷ",78 m²,4,6,"Quận 10, Hồ Chí Minh","Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7818399,106.6650821
"Bán khách sạn hướng tây, Visip1 - Bình Dương, thu nhập 110tr/tháng. Dt sàn 1200m2, view đẹp Hot./","22,5 tỷ",200 m²,26,26,"Thuận An, Bình Dương","Đường D32, Phường An Phú, Thuận An, Bình Dương",10.94298715,106.7278509
Bảng giá căn hộ Diamond Riverside 2025 cần bán (cam kết không kê giá) LH: 0936 496 *** Kim Dung,"2,65 tỷ",74 m²,2,2,"Quận 8, Hồ Chí Minh","Diamond Riverside, 1646A, Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh",10.72606923,106.6198035
"Bán nhà mặt phố quận Hoàng Mai, 290m2 8x tỷ, 3 mặt tiền 15m, to đẹp nhất phố, sẵn thuê 300 triệu/th","85,5 tỷ",290 m²,68,50,"Hoàng Mai, Hà Nội","Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",20.9763224,105.8104688
"Bán căn hộ chính chủ 2PN, 3PN chung cư Hoàng Thành Pearl - giá tốt, hỗ trợ A - Z, LH 0989 324 ***","5,9 tỷ",80 m²,2,2,"Nam Từ Liêm, Hà Nội","Hoàng Thành Pearl, Số 55, Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",21.02369542,105.7552656
"HIẾM, VỊ TRÍ TRUNG TÂM HOÀNG DIỆU 2 - CHDV 4 TẦNG (5x30) HẺM THÔNG ĐH SƯ PHẠM, DÒNG TIỀN 60 TRIỆU",15 tỷ,150 m²,7,4,"Thủ Đức, Hồ Chí Minh","Đường Hoàng Diệu, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",10.86008266,106.7611872
"Khu vip Elysia sông Hàn, giá 7.7 tỷ: 0905 822 *** có hỗ trợ vay","7,5 tỷ",96 m²,6,6,"Hải Châu, Đà Nẵng"," Đường Nguyễn Thi,  Phường Hòa Cường Nam,  Hải Châu,  Đà Nẵng",16.0322372,108.2314849
Giỏ hàng căn hộ The Western Capital Quận 6,"2,85 tỷ",68 m²,2,2,"Quận 6, Hồ Chí Minh","The Western Capital, 116, Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh",10.73794515,106.6287476
Nhà phố 4m x 14m. Xây 1 lửng 3 lầu full nội thất 1/ hẻm 9m thông Trần Thị Hè (HT42),"5,5 tỷ",54 m²,4,5,"Quận 12, Hồ Chí Minh","Đường Trần Thị Hè, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",10.8793107,106.6303003
"Phải rất nhanh mới kịp, siêu phẩm Hoàng Cầu, Nguyễn Phúc Lai, 1 nhà ra mặt phố dự qh xong ra MP.","20,9 tỷ",75 m²,4,5,"Đống Đa, Hà Nội","Phố Nguyễn Phúc Lai, Phường Trung Liệt, Đống Đa, Hà Nội",21.0113515,105.8220568
"Hạ sốc 1 tỷ, bán nhanh nhà mặt ngõ Tôn Thất Tùng, kinh doanh, khu vực đông sinh viên, tầm tiền hiếm","3,9 tỷ",20 m²,4,4,"Đống Đa, Hà Nội","Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",21.00277543,105.8286636
Bán căn hộ Sky Garden Quận 7 - ngân hàng hỗ trợ cho vay lên đến 70% - nhận nhà ở ngay,"5,05 tỷ",72 m²,2,2,"Quận 7, Hồ Chí Minh"," Đường Phạm Văn Nghị,  Phường Tân Phong,  Quận 7,  Hồ Chí Minh",10.7299253,106.7068066
"Chuyển nhượng căn hộ Eco Xuân giá tốt nhất 1PN 1 tỷ 28, 2PN 1 tỷ 7, 3PN 1.9tỷ. LH 0901 018 ***","1,7 tỷ",74 m²,2,2,"Thuận An, Bình Dương","Eco Xuân, Đường Quốc Lộ 13, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",10.8970914,106.7085812
"Hàng Vip, Bán toà căn hộ phố tây hẻm ô tô Nguyễn Thiện Thuật, 50m2 co 6 căn hộ giá 10,5 tỷ","10,5 tỷ",50 m²,6,6,"Nha Trang, Khánh Hòa","Phố Nguyễn Thiện Thuật, Phường Lộc Thọ, Nha Trang, Khánh Hòa",12.2391966,109.1957201
"Tôi chính chủ cần bán trong tháng 2 căn hộ 3PN 2PN view cực thoáng chung cư Mỹ Đình Pearl giá 7,6tỷ","7,6 tỷ",94 m²,3,2,"Nam Từ Liêm, Hà Nội","Mỹ Đình Pearl, Phú Đô, Nam Từ Liêm, Hà Nội",21.00662485,105.768881
"Bán Đất TO Giá Rẻ, có sẵn phòng trọ cho thuê ở HBC Thủ Đức",22 tỷ,222 m²,8,8,"Thủ Đức, Hồ Chí Minh","Đường 16, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",10.82846077,106.7297077
"Nhà mặt tiền Chợ, mặt tiền lớn 6,5m thuận tiện kinh doanh, vị trí đắc địa, đầu tư lâu dài.",15 tỷ,"80,8 m²",6,7,"Tân Phú, Hồ Chí Minh","Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7856487,106.6343955
"Chính chủ gửi bán nhà Tây Mỗ, cực rẻ, dân xây 52m2 xây 4 tầng giá 6 tỷ - 0862 614 ***",6 tỷ,52 m²,4,4,"Nam Từ Liêm, Hà Nội","Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",21.00170083,105.741205
Chính thức mở bán đợt cuối block B tầng 7 và 8 anh chị nhanh tay liên hệ để đăng ký lấy căn,"1,15 tỷ",39 m²,1,1,"Quận 2, Hồ Chí Minh"," Đường Võ Chí Công,  Phường Thạnh Mỹ Lợi,  Quận 2,  Hồ Chí Minh",10.77073175,106.7702559
