Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Địa chỉ chi tiết
"Chính chủ cắt lỗ bán nhanh căn hộ 2PN Sunshine Sky City Tòa S3 DT 77,5m2, tầng cao view đẹp có TL","5,5 tỷ","77,5 m²",2,2,"Quận 7, Hồ Chí Minh","Dự án Sunshine Sky City , Đường Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh"
"Chính chủ bán nhà riêng 6 tầng x 51m2, thang máy, lô góc, full nội thất, Nguyễn Văn Cừ, ngõ 3m","9,55 tỷ",51 m²,3,5,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội"
"The Filmore giỏ hàng 23 căn từ CDT, chiết khấu 16%, nhận nhà ở ngay, Mr Cường chuyên dự án ngày đầu","5,06 tỷ","51,3 m²",1,Không có thông tin,"Hải Châu, Đà Nẵng","Dự án The Filmore Da Nang, Đường Bạch Đằng, Phường Bình Thuận, Hải Châu, Đà Nẵng"
"HimLam ra hàng mới nhất, quỹ các căn shophouse đường Lý Tử Tấn. Đường 33m + vỉa hè 5m. Giá từ 17 tỷ","18,5 tỷ","88,3 m²",6,7,"Thường Tín, Hà Nội","Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội"
"Bán căn hộ Iris Garden 30 Trần Hữu Dực, DT 60,7 đến 135m2 2 và 3 ngủ 4,5 tỷ đến 8,3 tỷ xem nhà 24/7",Giá thỏa thuận,"60,7 m²",2,2,"Nam Từ Liêm, Hà Nội","Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội"
Bán biệt thự lô góc 2 mặt tiền KĐT HUD Mê Linh,21 tỷ,293 m²,Không có thông tin,Không có thông tin,"Mê Linh, Hà Nội","Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội"
"Bán biệt thự vườn, mặt tiền đường Lê Đức Thọ - Trung tâm TP. Phú Mỹ - Bà Rịa - Vũng Tàu","16,1 tỷ",2.100 m²,Không có thông tin,Không có thông tin,"Phú Mỹ, Bà Rịa Vũng Tàu","Đường Lê Đức Thọ, Phường Phú Mỹ, Phú Mỹ, Bà Rịa Vũng Tàu"
Bán song lập Ngọc Trai 150m2 giá tốt nhất khu khép kín tại Vinhomes Ocean Park Gia Lâm,34 tỷ,150 m²,Không có thông tin,Không có thông tin,"Gia Lâm, Hà Nội","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
"Bán nhà mặt tiền Cao Thắng, P5, Quận 3, DT: 14x25m công nhận 220m2 - 3 tầng, giá bán chỉ 85 tỷ",85 tỷ,220 m²,Không có thông tin,Không có thông tin,"Quận 3, Hồ Chí Minh","Đường Cao Thắng, Phường 5, Quận 3, Hồ Chí Minh"
Căn hộ biển Quy Nhơn - Sở hữu lâu dài (thuê lại sau khi khách hàng nhận bàn giao căn hộ),Giá thỏa thuận,46 m²,1,1,"Quy Nhơn, Bình Định","Simona Heights , 145A, Đường Trần Hưng Đạo, Phường Thị Nại, Quy Nhơn, Bình Định"
Bán căn góc 2 mặt tiền mặt đường vành đai 4 KĐT HUD Mê Linh,"23,89 tỷ","183,8 m²",Không có thông tin,Không có thông tin,"Mê Linh, Hà Nội","HUD Me Linh Central, Thanh Lâm, Mê Linh, Hà Nội"
"Bán nhà 2 mặt tiền phố Phạm Huy Thông, 9,9 tỷ, 70m2, 2PN, 2WC, Gò Vấp, HCM","9,9 tỷ",70 m²,2,2,"Gò Vấp, Hồ Chí Minh","Đường Phạm Huy Thông, Phường 7, Gò Vấp, Hồ Chí Minh"
Bán gấp căn hộ chính chủ TimesCity - Park Hill giá rẻ nhất thị trường t3/2025. LH 0968 108 ***,"7,3 tỷ",95 m²,2,2,"Hai Bà Trưng, Hà Nội","Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
Đất mặt tiền đường trục chính trung tâm thành phố Phú Mỹ - BR - VT,"6,5 tỷ",1.000 m²,Không có thông tin,Không có thông tin,"Phú Mỹ, Bà Rịa Vũng Tàu","Đường Mỹ Xuân - Ngãi Giao, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu"
"Bán biệt thự 320m2 tại phường Long Toàn, TP - Bà Rịa","12,1 tỷ",320 m²,4,4,"Bà Rịa, Bà Rịa Vũng Tàu","Phường Long Toàn, Bà Rịa, Bà Rịa Vũng Tàu"
CHÍNH CHỦ ĐỘC QUYỀN BÁN lô góc HOA HẬU 2 mặt tiền 2ty249tr view cánh đồng mát mẻ SỔ ĐỎ sẵn sang tên,"2,25 tỷ",314 m²,Không có thông tin,Không có thông tin,"Phúc Yên, Vĩnh Phúc","Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc"
"Bán đất vip 285 Đại lộ Bình Dương, phường Chánh Nghĩa, Thủ Dầu Một","113,51 tỷ","463,3 m²",Không có thông tin,Không có thông tin,"Thủ Dầu Một, Bình Dương","Số 285, Đường Đại Lộ Bình Dương, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương"
"Nội bộ CĐT bán 2PN 71,82m2 The Rivana giá 102% chỉ 2tỷ490 (SHR) - mặt tiền QL13 & view sông Sài Gòn","2,49 tỷ","71,82 m²",2,2,"Thuận An, Bình Dương","Dự án The Rivana, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương"
"Akari City 2PN1WC 2.650 tỷ, 2PN2WC 3.2 tỷ, 80m2/3,6 tỷ, 3.25 tỷ/62m2. đã có sổ hồng. trực tiếp CĐT","3,2 tỷ",75 m²,2,2,"Bình Tân, Hồ Chí Minh","Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
"Bán nhà mặt phố Trần Điền phía gần đường 2.5. Diện tích sàn 176m2, 4 tầng",Giá thỏa thuận,176 m²,Không có thông tin,Không có thông tin,"Hoàng Mai, Hà Nội","Dự án KĐT Định Công, Phố Trần Điền, Phường Định Công, Hoàng Mai, Hà Nội"
"Nhà đẹp, giá tốt. Thương lượng chính chủ. Hỗ trợ vay ngân hàng. Không tiếp môi giới","8,7 tỷ","79,4 m²",4,5,"Đà Lạt, Lâm Đồng","Phố Phù Đổng Thiên Vương, Phường 8, Đà Lạt, Lâm Đồng"
"Chính chủ bán đất Hòa Thạch, Quốc Oai đầy đủ pháp lý, vị trí cực đẹp, dt 232m2, chỉ 16.5 triệu/m2","3,83 tỷ",232 m²,Không có thông tin,Không có thông tin,"Quốc Oai, Hà Nội","Xã Hòa Thạch, Quốc Oai, Hà Nội"
"Đất tái định cư Ngọc Thuỵ, DT 58,8m2, mặt tiền 4,35m, đường trước đất 14m, 2 thoáng, 14 tỷ",14 tỷ,"58,8 m²",Không có thông tin,Không có thông tin,"Long Biên, Hà Nội","Phường Ngọc Thụy, Long Biên, Hà Nội"
Cần bán căn hộ 8x Plus 67m2 2PN 2WC giá 2.5 tỷ đã có sổ hồng,"2,5 tỷ",67 m²,2,2,"Quận 12, Hồ Chí Minh","Dự án 8X Plus Trường Chinh, Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
"Bán nhà chính chủ ngõ 554 Nguyễn Văn Cừ, 10.6 tỷ, 40.3m2, ôtô đỗ cửa 3,5 tầng, phong thủy tốt","10,6 tỷ","40,3 m²",Không có thông tin,Không có thông tin,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội"
"Bán căn 2PN góc giá siêu tốt giai đoạn đầu, thanh toán giãn đến năm 2028","8,7 tỷ",74 m²,2,2,"Quận 2, Hồ Chí Minh","Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
Chính chủ bán nhà số 47 Phố Chợ Đôn - Lê Chân - Hải Phòng,Giá thỏa thuận,60 m²,4,3,"Lê Chân, Hải Phòng","Phường Nghĩa Xá, Lê Chân, Hải Phòng"
Bán 90 nền đất sổ sẵn - pháp lý chuẩn cho XD - Gần BV Xuyên Á - Đất Tân Phú Trung Củ Chi 80m2 120m2,"1,8 tỷ",105 m²,Không có thông tin,Không có thông tin,"Củ Chi, Hồ Chí Minh","Dự án KDC Tân Phú Trung, Đường Cây Da, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
"Căn hộ 2PN 2VS giá chỉ từ 2,3tỷ. Dự Án Vic Grand Square Việt Trì. Vốn ban đầu ~700tr(30%GTCH)","2,2 tỷ",68 m²,2,2,"Việt Trì, Phú Thọ","Dự án Vic Grand Square, Đường Hùng Vương, Phường Gia Cẩm, Việt Trì, Phú Thọ"
"Bán lô đất 1972m2 chính chủ tại bãi biển Duy Hải, LH 0868 943 *** Duy Liêm","19,23 tỷ",1.972 m²,Không có thông tin,Không có thông tin,"Duy Xuyên, Quảng Nam","Xã Duy Hải, Duy Xuyên, Quảng Nam"
Shophouse STC Long Thành - Giỏ hàng vị trí đẹp nhất. Giá gốc với nhiều CSBH hấp dẫn. LH 0966 284 ***,Giá thỏa thuận,100 m²,Không có thông tin,Không có thông tin,"Long Thành, Đồng Nai","Dự án STC Long Thành, Xã Bình Sơn, Long Thành, Đồng Nai"
STC Long Thành mặt tiền ĐT769 vị trí đắc địa khu vực sân bay. Giỏ hàng mới nhất SHR LH 0902 445 ***,"2,5 tỷ",100 m²,Không có thông tin,Không có thông tin,"Long Thành, Đồng Nai","Dự án STC Long Thành, Đường ĐT 769, Xã Bình Sơn, Long Thành, Đồng Nai"
"Chuyển nhượng đất chính chủ khu nghỉ dưỡng nhà vườn thôn Long Phú, xã Hòa Thạch, Quốc Oai, HN",Giá thỏa thuận,366 m²,Không có thông tin,Không có thông tin,"Quốc Oai, Hà Nội","Xã Hòa Thạch, Quốc Oai, Hà Nội"
"Cần bán đất gấp 10 tỷ, diện tích 11,702 m2 Hà Lâm, Lâm Đồng, hoa hồng 2%",10 tỷ,11.702 m²,Không có thông tin,Không có thông tin,"Đạ Huoai, Lâm Đồng","Xã Hà Lâm, Đạ Huoai, Lâm Đồng"
"Bán đất mặt đường chính Tôn Đức Thắng rộng 30m cắt phố đi bộ BigC, MT 7m, DT 126m2, sổ đỏ chính chủ","10,33 tỷ",126 m²,Không có thông tin,Không có thông tin,"Bắc Giang, Bắc Giang","Phố Tôn Đức Thắng, Xã Dĩnh Kế, Bắc Giang, Bắc Giang"
"Bán gấp đất Liên Phường, Q9, 65m2, đối diện trường học, SHR, 0936 875 *** cô Ba","1,49 tỷ",65 m²,Không có thông tin,Không có thông tin,"Quận 9, Hồ Chí Minh","Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh"
"Chỉ 250 triệu sở hữu căn hộ TT Thành Phố Phú Mỹ, tỉ suất lợi nhuận cho thuê hơn TP HCM, Bình Dương",Giá thỏa thuận,65 m²,2,2,"Phú Mỹ, Bà Rịa Vũng Tàu","Dự án Citymark Residence, Đường Quốc Lộ 51, Phường Phú Mỹ, Phú Mỹ, Bà Rịa Vũng Tàu"
"Văn phòng Kiến Hưng Luxury bán quỹ căn chuyển nhượng đẹp nhất dự án giá từ 15,5 tỷ","15,5 tỷ",70 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Dự án Kiến Hưng Luxury, Phường Kiến Hưng, Hà Đông, Hà Nội"
"Chính chủ cần bán căn hộ 73m2 toà C tầng 6 CC Eco City Việt Hưng, full nội thất cách Hồ Gươm 6,5km",4 tỷ,73 m²,2,2,"Long Biên, Hà Nội","Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội"
Bán Căn Hộ Masteri Cao Cấp Sang Trọng Nhất Thành Phố Thủ Đức,"4,5 tỷ",74 m²,2,Không có thông tin,"Thủ Đức, Hồ Chí Minh","Phường Long Bình, Thủ Đức, Hồ Chí Minh"
Em Toàn chuyên chuyển nhượng căn hộ tại CC Florence - 28 Trần Hữu Dực. Cập nhật quỹ căn,"6,75 tỷ","91,5 m²",3,2,"Nam Từ Liêm, Hà Nội","Florence Mỹ Đình, 28, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội"
"Bán shophouse Jamila Khang Điền tại đường Song Hành, Quận 9, TP. HCM, 115 m2 giá tốt","7,2 tỷ",115 m²,1,2,"Quận 9, Hồ Chí Minh","Dự án Jamila Khang Điền, Đường Song Hành, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
"Căn rẻ nhất thị trường. View đẹp, giá tốt giai đoạn đầu. Chiết khấu 23.8%, tặng thêm 500tr","5,9 tỷ",120 m²,3,4,"Cam Ranh, Khánh Hòa","Sông Town, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa"
"Chính chủ bán mảnh đất tại Quận 12, TP. Hồ Chí Minh. Diện tích 128,7m2, nhà cấp 4 đã hoàn công","4,6 tỷ","128,7 m²",Không có thông tin,Không có thông tin,"Quận 12, Hồ Chí Minh","Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",35 tỷ,168 m²,4,5,"Quận 2, Hồ Chí Minh","Đường Số 40, Phường Bình An, Quận 2, Hồ Chí Minh"
"Hoàng Huy New City-Shophouse mặt đường Đỗ Mười,Sẻ Khe,góc,view hồ, CSBH,ưu đãi,giá căn LH0528 758 ***",Giá thỏa thuận,90 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Dự án Hoàng Huy New City, Đường Đỗ Mười, Phường Dương Quan, Thủy Nguyên, Hải Phòng"
"Độc quyền chính chủ cần bán căn 2 phòng ngủ tầng cao view ngắm pháo hoa, quận 1, giá chỉ 15,9 tỷ","15,9 tỷ",76 m²,2,2,"Quận 2, Hồ Chí Minh","Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh."
Bán mảnh đất siêu phẩm lô góc 120m2 sát trục chính thị trấn Chúc Sơn Chương Mỹ mặt tiền kinh doanh,"4,56 tỷ",120 m²,Không có thông tin,Không có thông tin,"Chương Mỹ, Hà Nội","Xã Ngọc Hòa, Chương Mỹ, Hà Nội"
"Giỏ hàng độc quyền căn hoa hậu Hy Lạp Sông Town, giá giai đoạn đầu, tặng 500tr","9,5 tỷ","122,4 m²",3,4,"Cam Ranh, Khánh Hòa","Dự án Sông Town, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa"
Căn góc Hy Lạp với tầm nhìn sân golf siêu đẹp. Giá ưu đãi giai đoạn đầu.Chiết khấu hơn 2 tỷ + 500tr,9 tỷ,"158,86 m²",3,4,"Cam Ranh, Khánh Hòa","Dự án Sông Town, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa"
DCapital Riverside Bến Cát Bình Dương,"2,9 tỷ",150 m²,Không có thông tin,Không có thông tin,"Bến Cát, Bình Dương","Dự án Ngũ Tượng Khải Hoàn, Đường Đại Lộ Bình Dương, Phường Thới Hòa, Bến Cát, Bình Dương"
"CC bán nhanh nhà Vườn 18,600m² đầy tiềm năng tăng giá dòng tiền 30 triệu/tháng, giá cực hấp dẫn","9,98 tỷ",18.600 m²,Không có thông tin,Không có thông tin,"Bình Long, Bình Phước","Xã Thanh Lương, Bình Long, Bình Phước"
"Siêu phẩm căn hộ giới hạn 2 ngủ 45,6m2 giá 790tr tầng đẹp, view Đông Nam view hồ, view trường học",790 triệu,"45,6 m²",2,1,"Yên Phong, Bắc Ninh","Dự án GrandHome Yên Phong, Đường Tỉnh lộ 295, Xã Đông Tiến, Yên Phong, Bắc Ninh"
Quỹ căn hộ giá rẻ không chênh hỗ trợ vay vốn ngân hàng 80% sổ đỏ sang tên rẻ hơn CDT 500 triệu,"3,3 tỷ",68 m²,2,2,"Đông Anh, Hà Nội","Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội"
"Bán nhà mặt tiền Phạm Văn Thuận 14x36, diện tích sàn 1400m tại Biên Hoà, Đồng Nai",63 tỷ,490 m²,3,3,"Biên Hòa, Đồng Nai","Đường Phạm Văn Thuận, Phường Tân Mai, Biên Hòa, Đồng Nai"
"Chỉ 1.5 tỷ sở hữu căn 1 ngủ tòa S3 Symphony ven sông Hàn ngắm pháo hoa , bán đảo Sơn Trà .",4 tỷ,58 m²,1,1,"Sơn Trà, Đà Nẵng","Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng"
"Chính chủ cần bán gấp nhà riêng phố Kim Mã, Ba Đình, Hà Nội 5 tầng full nội thất giá rẻ","8,8 tỷ",43 m²,5,3,"Ba Đình, Hà Nội","Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội"
"Gia đình cần bán gấp nhà phố Lavila KDC ven sông, sổ hồng đầy đủ, giá (10.39 tỷ) LH: 0909 888 ***","10,39 tỷ",106 m²,4,4,"Nhà Bè, Hồ Chí Minh","Dự án Lavila Kiến Á - Nhà Bè, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
Gia đình cần bán gấp biệt thự Nine South KDC Ven Sông 15 tỷ (Thương lượng). LH: 0909 888 ***,15 tỷ,140 m²,4,5,"Nhà Bè, Hồ Chí Minh","Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
Khách sạn hiện đại nằm ở vị trí đắc địa nhìn ra vịnh,170 tỷ,240 m²,Không có thông tin,Không có thông tin,"Hạ Long, Quảng Ninh","Đường 20, Phường Bạch Đằng, Hạ Long, Quảng Ninh"
"Chính chủ bán đất 500m2 (10x50), 13.6tr/m2, khu trung tâm hành chính Tỉnh BRVT","6,8 tỷ",500 m²,Không có thông tin,Không có thông tin,"Long Đất, Bà Rịa Vũng Tàu","Dự án Moon Lake, Xã Tam An, Long Đất, Bà Rịa Vũng Tàu"
Chính thức ra hàng dự án Economy City Hưng Yên mua trực tiếp chủ đầu tư,Giá thỏa thuận,"76,5 m²",Không có thông tin,Không có thông tin,"Văn Lâm, Hưng Yên","Dự án Economy City, Thị trấn Như Quỳnh, Văn Lâm, Hưng Yên"
"Hàng ngộp, giá tốt tại chung cư C Sky View. 1PN 53m2 từ 1.5 tỷ, 2PN 80m2 1.95 tỷ, 3PN 100m2 2.6 tỷ","1,95 tỷ",80 m²,2,2,"Thủ Dầu Một, Bình Dương","Dự án C-SkyView, Đường D8, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương"
"Hot! Mua nhà tặng xe, tặng học bổng, CK 15% + quà tân gia 450tr. LH: 0938 857 ***","3,1 tỷ",55 m²,2,2,"Quận 9, Hồ Chí Minh","Dự án The Beverly - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh"
"Bán De La Sol Quận 4, tin thật đảm bảo giá tốt nhất thị trường 7,5 tỷ, 84m2","7,5 tỷ",84 m²,2,2,"Quận 4, Hồ Chí Minh","De La Sol, Tôn Thất Thuyết, 1, Quận 4, Hồ Chí Minh"
Chỉ 3 căn hộ Park Legend mua trực tiếp chủ đầu tư - sân bay TSN - Hoàng Văn Thụ - Q. Tân Bình,"5,8 tỷ",70 m²,2,2,"Tân Bình, Hồ Chí Minh","Dự án Park Legend, Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh"
"Chính chủ bán biệt thự Nine South Estates, đường 17, 140 m2",19 tỷ,140 m²,4,4,"Nhà Bè, Hồ Chí Minh","Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
"Chính chủ bán biệt thự Nine South Estates, đường 17, 140 m2",19 tỷ,140 m²,4,4,"Nhà Bè, Hồ Chí Minh","Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
"NHỈNH 6 TỶ NHÀ ĐẸP NGANG KHỦNG 5M, CÁCH MẠNG THÁNG 8, TÂN BÌNH, CHỈ XÁCH VA LI VÔ Ở","6,5 tỷ",35 m²,3,4,"Tân Bình, Hồ Chí Minh","Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình, Hồ Chí Minh"
"Giỏ hàng hơn 100 căn bán tại Hà Đô nhiều căn độc quyền - giá tốt nhất 1PN 6 tỷ 2PN 8,5 tỷ 3PN 11 tỷ","8,5 tỷ",88 m²,2,2,"Quận 10, Hồ Chí Minh","Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh"
"Sốc! Duplex 193,2 m2 - View cầu ánh sáng - BC Đông Nam tại tòa S - Tiến độ giãn - Chủ nhà tk gấp","16,5 tỷ","193,2 m²",4,3,"Nam Từ Liêm, Hà Nội","Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội"
"Cara River Park - 2PN góc 70m2 - view Sông Hậu, Cầu Cần Thơ - sổ hồng vĩnh viễn","2,85 tỷ",70 m²,2,2,"Cái Răng, Cần Thơ","Dự án Cara River Park, Đường Vũ Đình Liệu, Phường Hưng Thạnh, Cái Răng, Cần Thơ"
Siêu phẩm liền kề đáng đầu tư nhất Vinhomes Global Gate. Gần sát công viên với vô vàn tiện ích,"20,89 tỷ",75 m²,6,8,"Đông Anh, Hà Nội","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội"
Cặp liền kề Ánh Dương 170m2 - Mặt tiền 10m ngay cạnh công viên. LH ngay 0797 484 ***,"41,81 tỷ",170 m²,12,18,"Đông Anh, Hà Nội","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội"
"Sổ đỏ trao tay, cơ hội đón đầu sân bay Quốc tế Long Thành đất nền chỉ từ 3xtr/m2","3,3 tỷ",100 m²,Không có thông tin,Không có thông tin,"Long Thành, Đồng Nai","Dự án STC Long Thành, Đường ĐT 769, Xã Bình Sơn, Long Thành, Đồng Nai"
"Đất nền siêu hot ngộp tại Quốc lộ 57B, Châu Hưng, Bình Đại, Bến Tre giá 350 triệu, 314m2",350 triệu,314 m²,Không có thông tin,Không có thông tin,"Bình Đại, Bến Tre","Đường Quốc lộ 57B, Xã Châu Hưng, Bình Đại, Bến Tre"
Chính chủ bán biệt thự đẹp trong khu Compound yên tĩnh Thảo Điền 2,115 tỷ,305 m²,5,6,"Quận 2, Hồ Chí Minh","153, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
"2PN View Sông, tốt nhất thị trường, mua trực tiếp CĐT, tặng xe VF3, 2 Học bổng Vinschool,chỉ 4,4 tỷ","4,44 tỷ",78 m²,2,2,"Quận 9, Hồ Chí Minh","Dự án The Beverly - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh"
Bán biệt thư 400m2 hướng Đông Nam KĐT CEO Sài Sơn Quốc Oai (0966 828 ***),"37,4 tỷ",400 m²,Không có thông tin,Không có thông tin,"Quốc Oai, Hà Nội","Dự án Sunny Garden City, Xã Sài Sơn, Quốc Oai, Hà Nội"
Park Village biệt thự Châu Âu 323m2 giá 18tỷ thanh toán 2 năm,18 tỷ,323 m²,4,3,"Bến Lức, Long An","Khu đô thị Waterpoint, Tỉnh lộ 824, An Thạnh, Bến Lức, Long An"
"Tổng hợp 69 căn chuyển nhượng giá rẻ tại The Canopy TC1, TC2, TC3 giá từ 1,8 tỷ - 4,2 tỷ","4,53 tỷ",73 m²,3,2,"Nam Từ Liêm, Hà Nội","Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội."
